Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6416,13910.0,43.7,89243.0,49348.0,4.831056793673616,1.430625449317038,1.2652767792954709,86.53486700215672,7.4766355140186915,8.921639108554999,3.9539899352983454,Cromwell,Middlesex County,41.6,-72.67,CT
6417,4480.0,47.1,85960.0,50048.0,2.4330357142857144,2.4107142857142856,0.3794642857142857,93.30357142857143,2.946428571428572,4.441964285714286,0.9151785714285714,Deep River,Middlesex County,41.37,-72.46,CT
6418,12562.0,40.1,55786.0,32003.0,12.673141219551027,5.827097595924215,1.4965769781881866,78.61009393408693,8.820251552300588,21.867537016398664,4.012099984078969,Derby,New Haven County,41.33,-73.08,CT
6419,6392.0,48.0,110543.0,47547.0,3.9580725907384235,1.3454317897371717,0.0,97.46558197747184,0.4536921151439299,0.5632040050062578,1.3297872340425532,Killingworth,Middlesex County,41.38,-72.58,CT
6420,4192.0,45.1,109972.0,54073.0,1.9322519083969465,1.1688931297709924,0.35782442748091603,89.05057251908397,2.8625954198473282,4.246183206106871,5.963740458015268,Salem,New London County,41.49,-72.27,CT
6422,7221.0,47.1,119905.0,57302.0,2.5758205234732032,1.8141531643816649,1.5510317130591331,97.65960393297328,0.1800304666943636,1.1217282924802658,1.5510317130591331,Durham,Middlesex County,41.46,-72.68,CT
6423,5374.0,50.1,103356.0,51178.0,2.828433196873837,1.7491626349088203,1.5816896166728691,97.50651283959806,0.9676218831410496,2.9214737625604763,0.0930405656866393,East Haddam,Middlesex County,41.48,-72.39,CT
6424,12744.0,45.2,95900.0,42900.0,6.246076585059637,3.9548022598870056,0.2903327055869428,92.78876333961081,1.1299435028248588,2.8562460765850597,3.2799748901443815,East Hampton,Middlesex County,41.6,-72.5,CT
6426,3401.0,58.9,106250.0,73688.0,3.0873272566892087,0.7938841517200823,0.0,84.88679800058806,7.7918259335489575,0.5292561011467215,3.5283740076448105,Essex,Middlesex County,41.35,-72.4,CT
6437,22216.0,48.6,111870.0,64041.0,2.9528267915016206,2.0840835433921496,0.1755491537630536,92.00126035289878,1.3278718041051494,4.847857400072019,3.9881166726683466,Guilford,New Haven County,41.3,-72.7,CT
6438,2906.0,51.6,126801.0,49930.0,5.299380591878872,0.9979353062629044,0.4817618719889883,99.07088781830696,0.1720578114246387,0.4129387474191328,0.3441156228492774,Haddam,Middlesex County,41.46,-72.5,CT
6441,5011.0,46.3,108508.0,49368.0,5.827180203552184,4.490121732189184,0.0,90.16164438235882,3.0333266813011366,3.1730193574136902,4.769507084414289,Higganum,Middlesex County,41.46,-72.57,CT
6442,2343.0,49.2,88466.0,41433.0,6.658130601792574,3.3717456252667524,0.0,97.95134443021769,0.0,7.042253521126762,0.2560819462227913,Ivoryton,Middlesex County,41.34,-72.45,CT
6443,18113.0,49.3,113798.0,61394.0,3.058576712858168,2.8266990559266825,0.0,93.62336443438413,0.3809418649588693,2.534091536465522,2.4402362943742064,Madison,New Haven County,41.3,-72.6,CT
6444,241.0,42.4,-666666666.0,34541.0,0.0,6.639004149377594,0.0,100.0,0.0,0.0,0.0,Marion,Hartford County,41.58,-72.9,CT
6447,6368.0,44.6,112557.0,55028.0,2.4811557788944723,1.8687185929648238,0.2355527638190954,97.3461055276382,1.5703517587939702,5.74748743718593,0.6438442211055276,Marlborough,Hartford County,41.64,-72.46,CT
6450,35215.0,41.8,60671.0,34208.0,8.371432628141417,3.11798949311373,0.8433906005963367,78.95499077097827,9.044441289223345,28.916654834587533,1.9650717023995457,Meriden,New Haven County,41.54,-72.78,CT
6451,24522.0,39.8,57261.0,32975.0,13.082130331946823,3.3357801158143707,0.9664790800097872,76.82489193377377,11.353070712013702,29.500040779708012,1.2152352989152595,Meriden,New Haven County,41.54,-72.82,CT
6455,3077.0,50.2,107614.0,50397.0,5.5898602534936614,1.7224569385765356,0.4549886252843679,96.94507637309069,0.0,1.0724731881702958,2.664933376665583,Middlefield,Middlesex County,41.52,-72.71,CT
6456,259.0,53.4,73875.0,52662.0,15.444015444015445,14.671814671814673,0.0,100.0,0.0,0.0,0.0,Middle Haddam,Middlesex County,41.5516,-72.5519,CT
6457,46511.0,37.0,65572.0,38265.0,10.962998000473009,3.343295134484316,0.5568575175764873,72.84943346735182,15.142654425834749,11.169400786910622,5.824428629786503,Middletown,Middlesex County,41.5,-72.7,CT
6460,38959.0,45.4,88085.0,50438.0,5.315844862547807,2.7644446726045335,0.3182833234939295,87.77689365743473,3.2957724787597216,5.924176698580558,5.649528992017249,Milford,New Haven County,41.21,-73.05,CT
6461,15369.0,46.4,103047.0,49469.0,3.201249268007027,2.7132539527620536,0.4945019194482399,85.64643112759452,3.0906369965515,5.537120176979633,9.102739280369574,Milford,New Haven County,41.24,-73.07,CT
6467,385.0,50.6,113790.0,44427.0,0.2597402597402597,0.0,0.0,93.24675324675323,0.2597402597402597,0.5194805194805194,0.0,Milldale,Hartford County,41.58,-72.9,CT
6468,19546.0,43.3,118669.0,51867.0,3.2129335925509057,1.7087895221528702,0.4962652205054743,89.5988949145605,1.672976568095774,6.630512636856647,4.553361301545073,Monroe,Fairfield County,41.34,-73.23,CT
6469,2802.0,47.5,90735.0,45478.0,5.888650963597431,3.1049250535331905,0.6780870806566738,94.5753033547466,0.0,5.42469664525339,0.1427551748750892,Moodus,Middlesex County,41.51,-72.44,CT
6470,16571.0,46.1,124909.0,55525.0,2.588860056725605,2.96300766399131,0.1387966930179228,91.20753122925592,1.6957335103494056,6.336370768209523,3.0414579687405707,Newtown,Fairfield County,41.4,-73.3,CT
6471,7600.0,48.2,82993.0,52687.0,1.263157894736842,1.3421052631578947,0.0789473684210526,94.14473684210527,0.3026315789473684,2.631578947368421,2.7236842105263164,North Branford,New Haven County,41.35,-72.78,CT
6472,6900.0,47.8,101429.0,46187.0,3.7246376811594213,2.6231884057971016,0.0,93.6086956521739,4.115942028985507,4.028985507246377,0.2463768115942029,Northford,New Haven County,41.38,-72.77,CT
6473,24108.0,46.9,97796.0,46940.0,4.9070847851335655,2.891156462585034,0.1825120292019246,86.88816990210718,4.214368674298988,4.9776007964161275,5.707648913223825,North Haven,New Haven County,41.38,-72.86,CT
