,Name,Household Income,White,Black,American Indian,Asian,Native Hawaiian,Two or more races,Hispanic,Population,Median Age,Per Capita Income,Poverty Count,Non Educated,State,county,County,Poverty Rate,Year
3,"New London County, Connecticut",66233.0,222560.0,15345.0,1614.0,11358.0,101.0,13503.0,26167.0,273185.0,40.7,34208.0,25766.0,1860.0,09,011,New London County,9.431703790471659,2015
4,"Tolland County, Connecticut",79626.0,135481.0,4752.0,70.0,5981.0,6.0,3578.0,7387.0,151948.0,38.1,35446.0,9511.0,460.0,09,013,Tolland County,6.2593782083344305,2015
5,"Fairfield County, Connecticut",84233.0,694797.0,105683.0,2234.0,47398.0,322.0,24252.0,171720.0,939983.0,39.7,50137.0,82743.0,6168.0,09,001,Fairfield County,8.802606004576678,2015
6,"Windham County, Connecticut",59392.0,106086.0,2620.0,450.0,1445.0,20.0,4013.0,12376.0,117470.0,40.4,28140.0,11999.0,718.0,09,015,Windham County,10.214522856899634,2015
7,"Middlesex County, Connecticut",79893.0,146977.0,8383.0,130.0,4558.0,8.0,3571.0,9183.0,165165.0,44.2,41277.0,10710.0,803.0,09,007,Middlesex County,6.484424666242848,2015
0,"New Haven County, Connecticut",62715.0,644385.0,110829.0,1688.0,33744.0,163.0,23439.0,144549.0,860874.0,39.8,33706.0,106796.0,6642.0,09,009,New Haven County,12.40553205230963,2016
1,"Litchfield County, Connecticut",73519.0,172643.0,3154.0,286.0,3511.0,6.0,2877.0,10003.0,185141.0,46.4,38859.0,12706.0,828.0,09,005,Litchfield County,6.862877482567341,2016
2,"Hartford County, Connecticut",68027.0,648438.0,120439.0,2467.0,43798.0,370.0,30103.0,151355.0,895699.0,40.2,36570.0,100830.0,6701.0,09,003,Hartford County,11.257129906363634,2016
3,"New London County, Connecticut",67574.0,221407.0,15526.0,1616.0,11283.0,57.0,13476.0,26701.0,272033.0,40.9,35531.0,25645.0,1842.0,09,011,New London County,9.42716508658876,2016
4,"Tolland County, Connecticut",80129.0,135217.0,4560.0,74.0,6321.0,6.0,3570.0,7629.0,151689.0,37.8,36364.0,9223.0,474.0,09,013,Tolland County,6.080203574418712,2016
5,"Fairfield County, Connecticut",86670.0,694622.0,107282.0,2441.0,47742.0,392.0,26208.0,175480.0,941618.0,39.9,51719.0,81553.0,6194.0,09,001,Fairfield County,8.660943185028323,2016
6,"Windham County, Connecticut",60689.0,105140.0,2692.0,684.0,1555.0,26.0,3875.0,12735.0,117078.0,40.7,28663.0,12518.0,762.0,09,015,Windham County,10.692017287620219,2016
7,"Middlesex County, Connecticut",79837.0,146228.0,8214.0,143.0,4828.0,11.0,3440.0,9276.0,164438.0,44.7,42573.0,11193.0,872.0,09,007,Middlesex County,6.8068208078424695,2016
