Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6001,18516.0,45.6,127230.0,70430.0,3.4024627349319507,1.6418232879671637,0.5724778569885505,,,82.4800172823504,0.7885072369842299,5.136098509397279,12.972564268740546,Avon,Hartford County,41.79,-72.86,CT
6002,21022.0,51.3,76717.0,43800.0,6.916563600038057,2.7447436019408245,0.5089905812957853,,,35.952811340500425,57.63485871943678,8.229473884501951,2.1358576729140903,Bloomfield,Hartford County,41.85,-72.74,CT
6010,60218.0,40.5,67507.0,36351.0,10.04184795243947,3.0372978179281938,0.7771762595901558,,,83.60124879604105,5.421966853764656,17.270583546447906,1.4746421335813211,Bristol,Hartford County,41.68,-72.94,CT
6013,9659.0,44.7,127353.0,54876.0,2.764261310694689,2.070607723366808,0.1138834247851744,,,94.47147737861064,0.9214204368982296,2.2051972253856507,2.495082306657004,Burlington,Hartford County,41.76,-72.96,CT
6016,6889.0,39.4,89029.0,38132.0,11.61271592393671,2.8015677166497315,0.0435476847147626,,,79.56161997387139,10.11757874872986,7.0111772390767895,3.701553200754826,Broad Brook,Hartford County,41.91,-72.55,CT
6018,2782.0,46.8,55000.0,36489.0,9.453630481667863,4.205607476635514,0.503235082674335,,,93.63767074047449,4.241552839683681,9.273903666427033,0.0,Canaan,Litchfield County,42.02,-73.3,CT
6019,10148.0,46.9,84828.0,48305.0,3.3898305084745757,1.9215608986992512,0.3251872290106425,,,90.08671659440284,4.296413086322428,4.582183681513599,4.631454473787938,Canton,Hartford County,41.86,-72.91,CT
6021,383.0,37.9,108000.0,42094.0,2.0887728459530033,2.8720626631853787,0.0,,,95.56135770234987,1.827676240208877,2.3498694516971277,2.610966057441253,Colebrook,Litchfield County,42.03,-73.1,CT
6022,140.0,40.2,199097.0,76139.0,0.0,0.0,0.0,,,82.14285714285714,0.0,30.0,0.0,Collinsville,Hartford County,41.82,-72.94,CT
6023,1558.0,45.7,95699.0,41894.0,3.016688061617458,4.428754813863928,1.6046213093709885,,,86.32862644415918,0.0,12.90115532734275,2.4390243902439024,East Berlin,Hartford County,41.61,-72.72,CT
6024,460.0,63.8,95972.0,44538.0,8.26086956521739,0.0,1.0869565217391304,,,100.0,0.0,0.0,0.0,East Canaan,Litchfield County,42.02,-73.28,CT
6026,5304.0,43.3,104336.0,41332.0,5.071644042232277,3.0731523378582204,0.0,,,89.06485671191555,0.8295625942684767,8.144796380090497,2.262443438914027,East Granby,Hartford County,41.94,-72.74,CT
6027,1451.0,51.1,101397.0,49594.0,3.032391454169538,3.7215713301171607,0.2067539627842867,,,90.62715368711235,0.0689179875947622,0.1378359751895244,0.6891798759476223,East Hartland,Hartford County,42.0,-72.91,CT
6029,16125.0,41.1,91042.0,50677.0,5.004651162790697,2.5426356589147288,0.0,,,86.7968992248062,1.662015503875969,4.409302325581394,6.542635658914728,Ellington,Tolland County,41.91,-72.42,CT
6031,1344.0,53.2,81815.0,61757.0,4.241071428571429,1.7857142857142858,0.0,,,93.67559523809523,3.7202380952380953,2.455357142857143,1.0416666666666667,Falls Village,Litchfield County,41.96,-73.32,CT
6032,17678.0,46.2,93497.0,55883.0,9.005543613530943,2.2231021608779282,0.6844665686163593,,,80.09955877361692,2.8114040049779385,6.120601878040503,12.246860504581964,Farmington,Hartford County,41.73,-72.83,CT
6033,28698.0,45.4,116766.0,59396.0,4.164053244128509,2.4914628197086905,0.2822496341208446,,,83.65391316468045,2.4182869886403235,6.355843612795317,9.484981531814064,Glastonbury,Hartford County,41.7,-72.54,CT
6035,7865.0,46.6,108571.0,53095.0,2.7336300063572794,2.31404958677686,0.1398601398601398,,,94.46916719643991,0.3305785123966942,2.339478703115067,1.958041958041958,Granby,Hartford County,41.96,-72.8,CT
6037,18926.0,47.5,103702.0,50485.0,4.62326957624432,1.764768043960689,0.935221388565994,,,93.11529113388987,1.0778822783472473,4.903307619148261,3.524252351262813,Berlin,Hartford County,41.6,-72.78,CT
6039,2138.0,49.5,72604.0,43295.0,9.822263797942002,1.9644527595884005,1.3564078578110383,,,97.66136576239477,0.3274087932647334,0.8419083255378859,1.0289990645463052,Lakeville,Litchfield County,41.95,-73.44,CT
6040,34661.0,36.4,68974.0,36616.0,11.309540982660627,3.7679236028966274,0.9780444880413144,,,61.357144917919285,18.340497966013675,14.751449756210151,8.291739995960878,Manchester,Hartford County,41.76,-72.52,CT
6042,23144.0,34.6,80516.0,38605.0,6.701520912547529,2.1431040442447284,0.6351538195644659,,,59.54891116488075,12.638264777048047,11.514863463532665,16.79484963705496,Manchester,Hartford County,41.8,-72.53,CT
