id,year,county,population,median_age,household_income,per_capita_income,poverty_rate,uneducated_rate,white_population_rate,black_population_rate,american_indian_population_rate,asian_population_rate,native_hawaiian_population_rate,hispanic_population_rate
35,2016,HARTFORD ,895699.0,40.2,68027.0,36570.0,11.257129906363634,0.7481307894728028,648438.0,120439.0,2467.0,43798.0,370.0,151355.0
36,2016,NEW LONDON ,272033.0,40.9,67574.0,35531.0,9.42716508658876,0.67712373131201,221407.0,15526.0,1616.0,11283.0,57.0,26701.0
37,2016,TOLLAND ,151689.0,37.8,80129.0,36364.0,6.080203574418712,0.31248145877420247,135217.0,4560.0,74.0,6321.0,6.0,7629.0
38,2016,FAIRFIELD ,941618.0,39.9,86670.0,51719.0,8.660943185028323,0.6578039077417807,694622.0,107282.0,2441.0,47742.0,392.0,175480.0
39,2016,WINDHAM ,117078.0,40.7,60689.0,28663.0,10.692017287620219,0.6508481525137088,105140.0,2692.0,684.0,1555.0,26.0,12735.0
40,2016,MIDDLESEX ,164438.0,44.7,79837.0,42573.0,6.8068208078424695,0.5302910519466303,146228.0,8214.0,143.0,4828.0,11.0,9276.0
41,2017,NEW HAVEN ,862127.0,40.1,64872.0,35085.0,11.684125424676411,0.6937492967973397,641178.0,112152.0,1165.0,34047.0,168.0,148446.0
42,2017,LITCHFIELD ,184454.0,46.9,76438.0,40619.0,6.722543289925944,0.49985362204126776,171607.0,3560.0,330.0,3546.0,6.0,10510.0
43,2017,HARTFORD ,897417.0,40.4,69936.0,37817.0,10.919784225170684,0.8385176567860871,644122.0,121811.0,2592.0,45626.0,279.0,154977.0
44,2017,WINDHAM ,116674.0,41.0,62553.0,29993.0,10.553336647410735,0.7019558770591563,103901.0,2617.0,736.0,1565.0,16.0,12946.0
45,2017,NEW LONDON ,270772.0,41.0,69411.0,36881.0,9.487317743341261,0.6082608246052029,219757.0,15556.0,1722.0,11210.0,61.0,27186.0
46,2017,MIDDLESEX ,164110.0,45.1,81673.0,43695.0,6.9666686978246295,0.5136798488818476,145791.0,8442.0,265.0,4780.0,0.0,9612.0
47,2017,TOLLAND ,151596.0,37.9,81312.0,37830.0,5.803583208000211,0.30541702947307314,134422.0,4797.0,48.0,6714.0,5.0,7860.0
48,2017,FAIRFIELD ,947328.0,40.2,89773.0,53433.0,8.594911160653966,0.7467318605593839,696286.0,107305.0,2527.0,48962.0,396.0,180379.0
49,2018,LITCHFIELD ,183031.0,47.2,78314.0,42443.0,6.911397522824003,0.4327135840376767,170083.0,3528.0,356.0,3394.0,6.0,10941.0
50,2018,WINDHAM ,116538.0,41.3,64774.0,31106.0,10.031920918498686,0.6367021915598345,103567.0,2644.0,711.0,1614.0,23.0,13368.0
51,2018,NEW LONDON ,268881.0,41.4,71368.0,38109.0,9.721772828872252,0.6586556878321637,216974.0,15760.0,1477.0,11087.0,74.0,27762.0
52,2018,MIDDLESEX ,163368.0,45.4,84761.0,45293.0,6.677562313304931,0.5215219626854708,144844.0,8654.0,264.0,5020.0,8.0,9835.0
53,2018,TOLLAND ,151269.0,37.5,84916.0,39668.0,6.207484679610495,0.1936946763712327,133656.0,4621.0,67.0,7037.0,0.0,8086.0
54,2018,FAIRFIELD ,944348.0,40.3,92969.0,55613.0,8.656872254719659,0.7603129354856473,691642.0,107215.0,2338.0,49927.0,487.0,182653.0
55,2018,NEW HAVEN ,859339.0,40.1,67128.0,36678.0,11.503609169373204,0.7082187588367338,634586.0,113737.0,1540.0,34161.0,219.0,151361.0
56,2018,HARTFORD ,894730.0,40.4,72321.0,39260.0,10.848300604651683,0.8877538475294223,639528.0,122103.0,2945.0,46577.0,356.0,157785.0
57,2019,NEW HAVEN ,857513.0,40.3,69905.0,38009.0,11.376270680444495,0.7085606865435277,628640.0,115837.0,1670.0,34656.0,177.0,155335.0
58,2019,HARTFORD ,893561.0,40.4,75148.0,40540.0,10.541194165815204,0.8800742198909756,631471.0,123117.0,2963.0,47734.0,280.0,161079.0
59,2019,WINDHAM ,116566.0,41.2,66550.0,32732.0,10.876241785769436,0.7394952215912015,104021.0,2649.0,700.0,1611.0,20.0,13754.0
60,2019,NEW LONDON ,267390.0,41.4,73490.0,39426.0,8.990612962339654,0.5725718987247093,215896.0,15537.0,1650.0,11091.0,84.0,28213.0
61,2019,MIDDLESEX ,163053.0,45.7,85898.0,46023.0,6.711928023403433,0.5022906662250924,143486.0,9119.0,312.0,5017.0,10.0,10095.0
62,2019,TOLLAND ,151063.0,37.7,87069.0,41371.0,6.617106770023103,0.2071983212302152,132820.0,4806.0,88.0,7371.0,3.0,8332.0
63,2019,FAIRFIELD ,943926.0,40.6,95645.0,57263.0,8.721764206092427,0.8621438544970687,688856.0,109186.0,2074.0,50339.0,540.0,185996.0
64,2019,LITCHFIELD ,182002.0,47.3,79906.0,44480.0,6.821903056010374,0.4840606147185196,168841.0,3165.0,498.0,3438.0,9.0,11436.0
