Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6001,18561.0,45.7,122486.0,66228.0,3.2056462475082164,2.025752922795108,0.2262809115888152,,,85.53957222132428,0.2855449598620764,3.270297936533592,12.569365874683475,Avon,Hartford County,41.79,-72.86,CT
6002,20848.0,50.2,73593.0,41515.0,6.504221028396009,4.7006907137375284,0.3021872601688411,,,33.65310821181888,59.70836531082118,5.141980046047583,1.6020721412125862,Bloomfield,Hartford County,41.85,-72.74,CT
6010,60498.0,40.4,64586.0,32823.0,10.291249297497439,3.8100433072167683,0.5570432080399352,,,85.03752190155045,4.228238950047936,14.714536017719595,1.8099771893285728,Bristol,Hartford County,41.68,-72.94,CT
6013,9598.0,44.0,121635.0,51224.0,2.260887684934361,2.469264430089602,0.1667013961241925,,,95.6345071889977,0.7501562825588665,2.927693269431132,2.5630339654094603,Burlington,Hartford County,41.76,-72.96,CT
6016,7003.0,38.3,81923.0,37162.0,9.32457518206483,2.7559617306868485,0.1285163501356561,,,80.93674139654433,7.682421819220334,8.796230187062688,2.4418106525774665,Broad Brook,Hartford County,41.91,-72.55,CT
6018,2892.0,46.2,70446.0,33999.0,4.633471645919778,1.2448132780082988,0.6915629322268326,,,99.1355463347165,0.8644536652835408,5.7745504840940525,0.0,Canaan,Litchfield County,42.02,-73.3,CT
6019,10309.0,47.5,90246.0,52456.0,2.9003783102143763,2.289261810068872,0.5141138810747891,,,90.97875642642352,2.6772722863517315,6.120865263362111,4.326316810553885,Canton,Hartford County,41.86,-72.91,CT
6021,380.0,39.4,73000.0,31823.0,3.947368421052632,2.631578947368421,0.0,,,96.05263157894736,1.8421052631578947,5.7894736842105265,2.1052631578947367,Colebrook,Litchfield County,42.03,-73.1,CT
6022,30.0,-666666666.0,-666666666.0,,0.0,0.0,0.0,,,43.33333333333334,0.0,0.0,0.0,Collinsville,Hartford County,41.82,-72.94,CT
6023,1314.0,44.3,90096.0,37487.0,7.3820395738203946,7.001522070015222,3.8051750380517504,,,89.95433789954338,0.0,11.339421613394215,0.837138508371385,East Berlin,Hartford County,41.61,-72.72,CT
6024,444.0,53.3,79423.0,41920.0,2.7027027027027017,0.0,0.0,,,96.62162162162164,0.0,0.0,1.8018018018018016,East Canaan,Litchfield County,42.02,-73.28,CT
6026,5220.0,43.6,93385.0,41099.0,2.739463601532567,3.4865900383141764,0.0,,,88.46743295019155,2.10727969348659,6.0153256704980835,2.7011494252873565,East Granby,Hartford County,41.94,-72.74,CT
6027,1495.0,47.2,91800.0,39617.0,3.6789297658862883,4.147157190635451,0.2006688963210702,,,91.90635451505017,0.1337792642140468,0.4682274247491639,1.2040133779264215,East Hartland,Hartford County,42.0,-72.91,CT
6029,15880.0,40.9,82365.0,44475.0,1.9458438287153648,2.424433249370277,0.207808564231738,,,91.1146095717884,1.6498740554156168,3.602015113350127,5.226700251889169,Ellington,Tolland County,41.91,-72.42,CT
6031,1452.0,53.3,87891.0,68668.0,2.7548209366391183,1.4462809917355373,0.0,,,96.48760330578513,2.4104683195592287,3.2369146005509637,0.2066115702479339,Falls Village,Litchfield County,41.96,-73.32,CT
6032,17449.0,44.9,96602.0,59363.0,6.31554816894951,2.2350851051636202,0.6132156570577111,,,83.27124763596768,2.5388274399679065,4.945842168605651,11.095191701530172,Farmington,Hartford County,41.73,-72.83,CT
6033,28769.0,45.9,105930.0,57299.0,4.167680489415692,3.298689561680976,0.4727310646876846,,,85.8493517327679,1.7553616740241231,5.245229239806736,8.043380027112518,Glastonbury,Hartford County,41.7,-72.54,CT
6035,7762.0,48.7,101742.0,53390.0,3.104869878897192,1.8551919608348364,0.0901829425405823,,,95.25895387786652,0.3736150476681267,0.8374130378768359,2.1128575109507857,Granby,Hartford County,41.96,-72.8,CT
6037,19270.0,49.0,94545.0,45859.0,2.9579657498702647,2.2262584327970942,1.0534509600415154,,,95.13233004670471,1.0067462376751428,4.571873378308252,1.7644006227296316,Berlin,Hartford County,41.6,-72.78,CT
6039,1932.0,49.4,83176.0,54064.0,6.418219461697722,1.2422360248447204,1.0351966873706004,,,97.15320910973084,1.6045548654244306,5.279503105590061,0.4140786749482402,Lakeville,Litchfield County,41.95,-73.44,CT
6040,34585.0,35.6,60906.0,32898.0,13.962700592742516,5.242157004481712,0.7604452797455544,,,65.81755096139945,16.85701893884632,14.194014746277286,7.760589851091512,Manchester,Hartford County,41.76,-72.52,CT
6042,23587.0,34.9,79106.0,36217.0,6.575656081739941,3.9428498749311065,0.45787934031458005,,,63.29757917496927,11.235002331792936,12.64679696442956,16.331029804553356,Manchester,Hartford County,41.8,-72.53,CT
6043,4947.0,47.0,101667.0,49763.0,3.5981402870426518,2.567212451991106,0.5659995957145745,,,92.66221952698605,1.0107135637760258,4.629068122094199,3.497068930665049,Bolton,Tolland County,41.77,-72.44,CT
6051,29958.0,32.9,32556.0,18287.0,28.696842245810803,5.137192068896455,0.9880499365778757,,,62.27385005674611,15.094465585152545,55.39088056612591,1.5755390880566127,New Britain,Hartford County,41.67,-72.77,CT
6052,8007.0,39.0,64955.0,35126.0,11.352566504308731,3.4095166729112028,1.0740601973273385,,,73.3857874359935,14.200074934432372,24.466092169351818,2.248032971150244,New Britain,Hartford County,41.66,-72.8,CT
