Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Uneducated Rate,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,State
6001,18645.0,46.3,121625.0,66738.0,2.6602306248323946,2.8801287208366855,0.3110753553231429,88.31322070260124,0.2038079914186109,3.2180209171359615,10.050951997854655,Avon,Hartford County,41.79,-72.86,CT
6002,20679.0,48.7,72762.0,39155.0,6.199526089269308,6.14149620387833,0.4448957879974853,34.42139368441414,58.010542095846034,4.777793897190387,1.9681802795106147,Bloomfield,Hartford County,41.85,-72.74,CT
6010,60554.0,41.6,61478.0,31709.0,10.306503286322954,5.137563166760248,0.6060706146579912,87.10407239819004,3.4531162268388544,12.40380486838194,1.9106912838127952,Bristol,Hartford County,41.68,-72.94,CT
6013,9499.0,43.8,113472.0,47339.0,2.231813875144752,2.8739867354458366,0.1789662069691546,95.76797557637646,1.4422570796925993,2.252868723023476,1.937046004842615,Burlington,Hartford County,41.76,-72.96,CT
6016,6601.0,37.4,79042.0,36954.0,6.347523102560217,5.059839418269959,0.1817906377821542,89.01681563399485,3.2570822602635965,8.710801393728223,0.93925162854113,Broad Brook,Hartford County,41.91,-72.55,CT
6018,2637.0,41.9,63750.0,29170.0,9.06332954114524,5.688282138794084,0.3033750474023511,99.65870307167236,0.3412969283276451,7.053469852104665,0.0,Canaan,Litchfield County,42.02,-73.3,CT
6019,10309.0,45.9,87326.0,47430.0,2.1243573576486563,2.7160733339800176,0.4462120477252886,94.11194102240759,0.8827238335435057,4.132311572412455,2.648171500630517,Canton,Hartford County,41.86,-72.91,CT
6021,379.0,46.4,71500.0,29475.0,4.485488126649076,1.5831134564643798,0.0,97.36147757255935,0.0,5.804749340369392,2.638522427440633,Colebrook,Litchfield County,42.03,-73.1,CT
6022,27.0,28.1,-666666666.0,73130.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,Collinsville,Hartford County,41.82,-72.94,CT
6023,1292.0,48.1,107534.0,40295.0,5.727554179566563,6.114551083591333,3.173374613003096,90.09287925696594,0.0773993808049535,7.4303405572755405,2.7089783281733752,East Berlin,Hartford County,41.61,-72.72,CT
6024,712.0,54.2,77260.0,36972.0,2.247191011235955,0.0,0.0,97.61235955056179,0.0,0.0,1.1235955056179776,East Canaan,Litchfield County,42.02,-73.28,CT
6026,5023.0,43.2,75033.0,38471.0,2.528369500298626,2.9265379255425046,0.3782600039816842,90.1851483177384,5.315548477005773,4.2803105713716905,1.6723073860242883,East Granby,Hartford County,41.94,-72.74,CT
6027,1464.0,47.8,88684.0,35927.0,5.532786885245901,2.459016393442623,0.1366120218579235,95.69672131147541,0.8879781420765027,0.819672131147541,2.5273224043715845,East Hartland,Hartford County,42.0,-72.91,CT
6029,15659.0,40.4,85556.0,43508.0,2.9886965962066543,3.4804265917363817,0.2235136343316942,92.54103071715946,0.8365796027843413,2.215978031802797,5.48566319688358,Ellington,Tolland County,41.91,-72.42,CT
6031,1330.0,51.5,83393.0,56362.0,4.360902255639099,2.1052631578947367,0.0,97.06766917293233,0.6015037593984962,2.556390977443609,0.9774436090225564,Falls Village,Litchfield County,41.96,-73.32,CT
6032,17506.0,44.0,91621.0,56114.0,6.1007654518450805,2.490574660116532,0.5598080658060094,85.74203130355306,1.7936707414600708,3.8158345710042267,10.02513423968925,Farmington,Hartford County,41.73,-72.83,CT
6033,28760.0,43.8,102655.0,54033.0,3.355354659248957,3.8525730180806677,0.5598052851182197,86.0048678720445,2.1801112656467314,3.915159944367177,8.647426981919331,Glastonbury,Hartford County,41.7,-72.54,CT
6035,8002.0,47.1,96089.0,48659.0,2.7243189202699325,2.8242939265183704,0.0,93.36415896025991,1.1747063234191453,1.0997250687328168,3.036740814796301,Granby,Hartford County,41.96,-72.8,CT
6037,19194.0,46.2,87457.0,40903.0,4.063769928102532,3.3031155569448787,1.14098155673648,94.83692820673129,0.6929248723559446,3.9543607377305414,3.209336250911744,Berlin,Hartford County,41.6,-72.78,CT
6039,1707.0,46.5,71190.0,51696.0,1.698886936145284,0.6444053895723492,0.0,93.32161687170476,5.330990041007616,4.2765084944346805,0.0,Lakeville,Litchfield County,41.95,-73.44,CT
6040,36062.0,35.0,61105.0,31377.0,14.178359491986024,5.593145138927404,0.5490544063002607,68.29072153513394,15.684099606233707,16.5853252731407,5.787255282568909,Manchester,Hartford County,41.76,-72.52,CT
6042,22125.0,36.4,69260.0,36050.0,7.661016949152543,5.9209039548022595,0.6508474576271186,70.72994350282484,8.944632768361581,11.150282485875707,14.544632768361582,Manchester,Hartford County,41.8,-72.53,CT
6043,4959.0,47.1,97019.0,49199.0,3.327283726557774,3.327283726557774,0.0201653559185319,92.35733010687642,1.8552127445049404,3.4482758620689653,1.9157088122605364,Bolton,Tolland County,41.77,-72.44,CT
6051,30415.0,32.3,30537.0,16690.0,31.050468518822953,8.321551865855664,1.4795331251027453,57.37300674009535,13.296071017590005,54.18379089265164,1.821469669570936,New Britain,Hartford County,41.67,-72.77,CT
6052,7754.0,39.1,62235.0,32579.0,9.607944286819707,4.049522826928038,0.941449574413206,73.81996388960536,8.421459891668817,23.149342274954858,2.7211761671395407,New Britain,Hartford County,41.66,-72.8,CT
6053,34830.0,34.4,46259.0,23170.0,17.774906689635372,5.357450473729544,0.9359747344243468,76.68389319552111,9.293712316968133,31.633649153028998,3.9161642262417455,New Britain,Hartford County,41.69,-72.79,CT
